 B , ,  , 00FF00 ,
 C ,0.720 , 1.548 , 404040 ,
 F , , 1.470 , DAA520 ,
 H ,0.320 , 1.100 , FFFFFF ,
 I ,1.400 , 1.748 , A020F0 ,
 N ,0.680 , 1.400 , 8F8FFF ,
 O ,0.680 , 1.348 , F00000 ,
 P ,1.036 , 1.880 , FFA500 ,
 S ,1.020 , 1.808 , FFC832 ,
 U , ,  , FF1493 ,
 V , ,  , FF1493 ,
 W , ,  , FF1493 ,
 Y , ,  , FF1493 ,
AC , ,  , FF1493 ,
AG , ,  , 808090 ,
AL , ,  , 808090 ,
AM , ,  , FF1493 ,
AR , ,  , FF1493 ,
AS , ,  , FF1493 ,
AT , ,  , FF1493 ,
AU , ,  , DAA520 ,
BA , ,  , FFA500 ,
BE , ,  , FF1493 ,
BH , ,  , FF1493 ,
BI , ,  , FF1493 ,
BK , ,  , FF1493 ,
BR , ,  , A52A2A ,
CA ,0.992 , 1.948 , 808090 ,
CD ,1.688 , 1.748 , FF1493 ,
CE , ,  , FF1493 ,
CF , ,  , FF1493 ,
CL , , 1.890 , 00FF00 ,
CM , ,  , FF1493 ,
CO , ,  , FF1493 ,
CR , ,  , 808090 ,
CS , ,  , FF1493 ,
CU , ,  , A52A2A ,
DB , ,  , FF1493 ,
DY , ,  , FF1493 ,
ER , ,  , FF1493 ,
ES , ,  , FF1493 ,
EU , ,  , FF1493 ,
FE ,1.420 , 1.948 , FFA500 ,
FM , ,  , FF1493 ,
FR , ,  , FF1493 ,
GA , ,  , FF1493 ,
GD , ,  , FF1493 ,
GE , ,  , FF1493 ,
HE , ,  , FFC0CB ,
HF , ,  , FF1493 ,
HG , ,  , FF1493 ,
HO , ,  , FF1493 ,
HS , ,  , FF1493 ,
IN , ,  , FF1493 ,
IR , ,  , FF1493 ,
KR , ,  , FF1493 ,
LA , ,  , FF1493 ,
LI , ,  , B22222 ,
LR , ,  , FF1493 ,
LU , ,  , FF1493 ,
MD , ,  , FF1493 ,
MG , ,  , 228B22 ,
MN , ,  , 808090 ,
MO , ,  , FF1493 ,
MT , ,  , FF1493 ,
NA , ,  , 0000FF ,
NB , ,  , FF1493 ,
ND , ,  , FF1493 ,
NE , ,  , FF1493 ,
NI , ,  , A52A2A ,
NO , ,  , FF1493 ,
NP , ,  , FF1493 ,
OS , ,  , FF1493 ,
PA , ,  , FF1493 ,
PB , ,  , FF1493 ,
PD , ,  , FF1493 ,
PM , ,  , FF1493 ,
PO , ,  , FF1493 ,
PR , ,  , FF1493 ,
PT , ,  , FF1493 ,
PU , ,  , FF1493 ,
RA , ,  , FF1493 ,
RB , ,  , FF1493 ,
RE , ,  , FF1493 ,
RF , ,  , FF1493 ,
RH , ,  , FF1493 ,
RN , ,  , FF1493 ,
RU , ,  , FF1493 ,
SB , ,  , FF1493 ,
SC , ,  , FF1493 ,
SE , ,  , FF1493 ,
SG , ,  , FF1493 ,
SI , ,  , DAA520 ,
SM , ,  , FF1493 ,
SN , ,  , FF1493 ,
SR , ,  , FF1493 ,
TA , ,  , FF1493 ,
TB , ,  , FF1493 ,
TC , ,  , FF1493 ,
TE , ,  , FF1493 ,
TH , ,  , FF1493 ,
TI , ,  , 808090 ,
TL , ,  , FF1493 ,
TM , ,  , FF1493 ,
XE , ,  , FF1493 ,
YB , ,  , FF1493 ,
ZN ,1.448 , 1.148 , A52A2A ,
ZR , ,  , FF1493 ,
